"SampleID","leaf_code","tree","cohort","leaf","obs_date","date","Vcmax_Estimate","Jmax_Estimate","Rd_Estimate","Vcmax_Std. Error","Jmax_Std. Error","Rd_Std. Error","RMSE","Vcmax_QC","Jmax_QC","Vcmax_Estimate_tpu","Jmax_Estimate_tpu","Rd_Estimate_tpu","TPU_Estimate","Vcmax_Std.Error_tpu","Jmax_Std.Error_tpu","Rd_Std.Error_tpu","TPU_Std.Error","RMSE_tpu","TPU_improved_vcmax","TPU_improved_rmse","TPU_created_spuriousjmax","TPU_improved_both","useTPU","Vcmax_Estimate_final","Jmax_Estimate_final","Rd_Estimate_final","TPU_Estimate_final","Vcmax_Std.Error_final","Jmax_Std.Error_final","Rd_Std.Error_final","TPU_Std.Error_final","RMSE_final"
"1.1.1_20220712","1.1.1","1","1","1","20220712",2022-07-12,14.2745519749235,34.0999014810403,-0.544723037513989,0.321857831453,NA,0.0269014527836612,3.15791091195847,"good","good",14.2745519749235,34.1690414168411,-0.544723037513989,2.7751113816668,0.321857831453,NA,0.0269014527836612,NA,3.13748457254783,0,1,0,1,1,14.2745519749235,34.1690414168411,-0.544723037513989,2.7751113816668,0.321857831453,NA,0.0269014527836612,NA,3.13748457254783
"1.1.1_20221008","1.1.1","1","1","1","20221008",2022-10-08,27.7075522610658,77.9874088824733,2.75090366806271,0.664548337072422,NA,0.130898265649097,8.73836941338419,"good","good",27.7075522610658,77.9874088824733,2.75090366806271,NA,0.664548337072422,NA,0.130898265649097,NA,8.73836941338419,0,0,0,0,0,27.7075522610658,77.9874088824733,2.75090366806271,NA,0.664548337072422,NA,0.130898265649097,NA,8.73836941338419
"1.1.1_20221128","1.1.1","1","1","1","20221128",2022-11-28,60.5885413025256,208.384217360627,-0.488873591652609,0.545412346677031,NA,0.0691155763319645,7.97793988527062,"good","good",60.5598457984522,210.528056175134,-0.492896197451559,13.2782914838806,0.538850443054327,NA,0.0689049021887925,NA,7.49726506039426,1,1,0,2,2,60.5598457984522,210.528056175134,-0.492896197451559,13.2782914838806,0.538850443054327,NA,0.0689049021887925,NA,7.49726506039426
"1.1.1_20230216","1.1.1","1","1","1","20230216",2023-02-16,28.1241661086345,69.4045343756149,-0.306682216377723,0.275937447338868,NA,0.0364957120567821,2.78866281307175,"good","good",28.0808396281216,69.7722839970039,-0.311999357689622,5.59006262238002,0.276801394158358,NA,0.0370271644423338,NA,2.68701722567094,0,1,0,1,1,28.0808396281216,69.7722839970039,-0.311999357689622,5.59006262238002,0.276801394158358,NA,0.0370271644423338,NA,2.68701722567094
"1.1.2_20220712","1.1.2","1","1","2","20220712",2022-07-12,11.7437985629949,37.7327722887631,-0.449309309197459,0.372572423926548,NA,0.054683919991418,4.6680588180429,"good","good",11.7437985629949,37.7327722887631,-0.449309309197459,NA,0.372572423926548,NA,0.054683919991418,NA,4.6680588180429,0,0,0,0,0,11.7437985629949,37.7327722887631,-0.449309309197459,NA,0.372572423926548,NA,0.054683919991418,NA,4.6680588180429
"1.1.2_20221008","1.1.2","1","1","2","20221008",2022-10-08,66.583458644163,329.582652950142,4.77187263477367,1.93766788771044,NA,0.402918389948941,39.6553031978673,"good","good",66.583458644163,329.582652950142,4.77187263477367,NA,1.93766788771044,NA,0.402918389948941,NA,39.6553031978673,0,0,0,0,0,66.583458644163,329.582652950142,4.77187263477367,NA,1.93766788771044,NA,0.402918389948941,NA,39.6553031978673
"1.1.2_20230216","1.1.2","1","1","2","20230216",2023-02-16,26.0587887616692,65.3795843731203,0.157653371218001,0.306271917612326,NA,0.0390480761866334,2.76120131375385,"good","good",26.0587887616692,65.3795843731203,0.157653371218001,NA,0.306271917612326,NA,0.0390480761866334,NA,2.76120131375385,0,0,0,0,0,26.0587887616692,65.3795843731203,0.157653371218001,NA,0.306271917612326,NA,0.0390480761866334,NA,2.76120131375385
"1.1.3_20230216","1.1.3","1","1","3","20230216",2023-02-16,24.7337835327754,62.9174713425902,0.17829133185329,0.203935685130721,NA,0.0289148731876608,2.87504259802778,"good","good",24.7337835327754,62.9752105841979,0.17829133185329,5.14823317406927,0.203935685130721,NA,0.0289148731876608,NA,2.84928144950882,0,1,0,1,1,24.7337835327754,62.9752105841979,0.17829133185329,5.14823317406927,0.203935685130721,NA,0.0289148731876608,NA,2.84928144950882
"10.1.1_20221011_attention_surface","10.1.1","10","1","1","20221011",2022-10-11,47.2795671218242,178.082365355737,1.01658524862978,0.526675475663181,NA,0.0807359669857178,10.09423178462,"good","good",47.2795671218242,178.082365355737,1.01658524862978,NA,0.526675475663181,NA,0.0807359669857178,NA,10.09423178462,0,0,0,0,0,47.2795671218242,178.082365355737,1.01658524862978,NA,0.526675475663181,NA,0.0807359669857178,NA,10.09423178462
"10.1.2_20221207","10.1.2","10","1","2","20221207",2022-12-07,46.5214121616347,245.221797927395,3.46055170561964,0.483408520429448,NA,0.0959659998930497,11.0361889502613,"good","good",46.5214121616347,245.221797927395,3.46055170561964,NA,0.483408520429448,NA,0.0959659998930497,NA,11.0361889502613,0,0,0,0,0,46.5214121616347,245.221797927395,3.46055170561964,NA,0.483408520429448,NA,0.0959659998930497,NA,11.0361889502613
"10.2.1_20221011","10.2.1","10","2","1","20221011",2022-10-11,28.0279801987086,99.9855773465954,2.77411466557645,1.21636710243084,NA,0.196891313441116,21.748775959401,"good","good",28.0279801987086,99.9855773465954,2.77411466557645,NA,1.21636710243084,NA,0.196891313441116,NA,21.748775959401,0,0,0,0,0,28.0279801987086,99.9855773465954,2.77411466557645,NA,1.21636710243084,NA,0.196891313441116,NA,21.748775959401
"10.2.2_20221011","10.2.2","10","2","2","20221011",2022-10-11,40.0932060848499,130.097359911969,3.66460396111382,1.45975607574207,NA,0.149510881741831,20.1488589793593,"good","good",40.0932060848499,130.450962974756,3.66460396111382,9.06162019952848,1.45975607574207,NA,0.149510881741831,NA,20.0368204073227,0,1,0,1,1,40.0932060848499,130.450962974756,3.66460396111382,9.06162019952848,1.45975607574207,NA,0.149510881741831,NA,20.0368204073227
"12.1.1_20220630","12.1.1","12","1","1","20220630",2022-06-30,15.4394179306262,52.1032675641978,0.19374710738326,0.17194207433057,NA,0.0311750446187787,3.58848389465457,"good","good",15.4394179306262,52.1032675641978,0.19374710738326,NA,0.17194207433057,NA,0.0311750446187787,NA,3.58848389465457,0,0,0,0,0,15.4394179306262,52.1032675641978,0.19374710738326,NA,0.17194207433057,NA,0.0311750446187787,NA,3.58848389465457
