"Vcmax_Estimate","Jmax_Estimate","Rd_Estimate","TPU_Estimate","Vcmax_Std. Error","Jmax_Std. Error","Rd_Std. Error","TPU_Std. Error","RMSE","SampleID"
14.2745519749235,34.1690414168411,-0.544723037513989,2.7751113816668,0.321857831453,NA,0.0269014527836612,NA,3.13748457254783,"1.1.1_20220712"
27.7075522610658,77.9874088824733,2.75090366806271,NA,0.664548337072422,NA,0.130898265649097,NA,8.73836941338419,"1.1.1_20221008"
60.5598457984522,210.528056175134,-0.492896197451559,13.2782914838806,0.538850443054327,NA,0.0689049021887925,NA,7.49726506039426,"1.1.1_20221128"
28.0808396281216,69.7722839970039,-0.311999357689622,5.59006262238002,0.276801394158358,NA,0.0370271644423338,NA,2.68701722567094,"1.1.1_20230216"
11.7437985629949,37.7327722887631,-0.449309309197459,NA,0.372572423926548,NA,0.054683919991418,NA,4.6680588180429,"1.1.2_20220712"
66.583458644163,329.582652950142,4.77187263477367,NA,1.93766788771044,NA,0.402918389948941,NA,39.6553031978673,"1.1.2_20221008"
26.0587887616692,65.3795843731203,0.157653371218001,NA,0.306271917612326,NA,0.0390480761866334,NA,2.76120131375385,"1.1.2_20230216"
24.7337835327754,62.9752105841979,0.17829133185329,5.14823317406927,0.203935685130721,NA,0.0289148731876608,NA,2.84928144950882,"1.1.3_20230216"
47.2795671218242,178.082365355737,1.01658524862978,NA,0.526675475663181,NA,0.0807359669857178,NA,10.09423178462,"10.1.1_20221011_attention_surface"
46.5214121616347,245.221797927395,3.46055170561964,NA,0.483408520429448,NA,0.0959659998930497,NA,11.0361889502613,"10.1.2_20221207"
28.0279801987086,99.9855773465954,2.77411466557645,NA,1.21636710243084,NA,0.196891313441116,NA,21.748775959401,"10.2.1_20221011"
40.0932060848499,130.450962974756,3.66460396111382,9.06162019952848,1.45975607574207,NA,0.149510881741831,NA,20.0368204073227,"10.2.2_20221011"
15.4394179306262,52.1032675641978,0.19374710738326,NA,0.17194207433057,NA,0.0311750446187787,NA,3.58848389465457,"12.1.1_20220630"
24.8081636472058,54.4662696716334,-1.12755459723019,NA,3.95133074277884,NA,0.186811913888593,NA,21.9520116129444,"12.1.1_20220725"
25.15064535039,70.635072052483,0.621947992052763,5.63431700136488,0.25234287693732,NA,0.0455943432931145,NA,3.23719755562981,"12.1.1_20230306"
19.4941803714799,61.0900179923636,-0.150253818398357,4.63790011375061,0.382220858939623,NA,0.0528299550890168,NA,6.18433512873305,"12.1.2_20221017"
71.4306804008907,251.523583865953,0.347914727592976,13.1280854484845,0.657984313764279,NA,0.0714898441138102,NA,6.5199868706265,"12.1.2_20221205"
30.5818597052891,80.6612196213397,0.561858546146415,6.27554224272179,0.161539018333448,NA,0.0251277970515965,NA,2.12133243837723,"12.1.2_20230306"
16.5384012383082,39.1679386463299,0.0430613166943197,NA,0.436156165083449,NA,0.0512030063216294,NA,9.0804222700024,"12.1.3_20220630"
10.2950377822139,39.5199668029659,-0.0902795048887651,NA,1.29297292108626,NA,0.152805417684441,NA,16.181748445373,"12.1.3_20220725"
55.8744883866775,177.948785575107,0.46941785163775,9.98496231584126,0.858291122026511,NA,0.0810077996740064,NA,26.5201099467087,"12.1.3_20221205"
22.0914372202666,55.3682914185158,0.472123630898469,4.30325337430565,0.204554028898886,NA,0.029502776627576,NA,1.82962139720292,"12.1.3_20230306"
37.155051239776,793315.945261136,2.37049675328415,8.9192720758272,1.23793884247504,NA,0.202453841854051,NA,21.6625212175829,"12.2.1_20221205"
41.457869282309,126.133472756836,0.587556712564199,8.88563479298661,0.659089565508196,NA,0.0759943693776331,NA,7.32029692925771,"12.2.2_20221205"
36.9165283280046,120.364869060354,1.34840574627963,NA,0.677538103017546,NA,0.0969069373436087,NA,9.85621300883276,"13.1.1_20221123"
24.3477206981754,91.0824420467446,1.00223980512154,NA,0.481325743432323,NA,0.0862231109656107,NA,8.68055789361056,"13.1.2_20221123"
21.5401761068688,65.9787816461012,0.0727474318224548,5.25321098304101,0.267199946984689,NA,0.0366262849731118,NA,3.41514863764162,"13.1.3_20221018"
28.5479256702746,97.2937058285777,1.07659610576889,NA,0.630904056535189,NA,0.0956990153340842,NA,7.07411100374752,"13.1.3_20221123"
23.0381780564156,50.7848918301363,-0.209613413803998,3.71904155791911,0.376328788640185,NA,0.0343111004989187,NA,2.14125448802836,"14.1.1_20220720"
41.3726290594079,123.339394732566,5.14036026398006,NA,0.655499033345558,NA,0.115163181749039,NA,10.175338407943,"14.1.1_20221009"
33.6121571105756,83.3263506905308,0.0387241009939465,6.19436796474587,0.218283674276438,NA,0.0288762154894803,NA,2.26740407714602,"14.1.1_20230209"
19.5121456758903,48.6948736529084,0.812162184163428,3.84899836138169,0.375774580691018,NA,0.0385812139973497,NA,2.12210435622255,"14.1.2_20220720"
14.3606199443615,793004.962319983,3.99256625246878,4.25404330860805,0.356335154262276,NA,0.0869850868460483,NA,7.42211940153617,"14.1.2_20221009"
30.0006568608066,75.0018782164869,0.523225226446556,5.84593722373185,0.189473132995534,NA,0.0256204603942944,NA,2.26825558389352,"14.1.2_20230209"
18.6965270966777,37.8342334925793,-0.56970774115977,2.84496891581873,0.215226600087576,NA,0.0148276309871838,NA,1.87759212421891,"14.1.3_20220720"
21.326318407415,65.2343180787803,4.54952135430751,5.37130295175106,0.426867077251259,NA,0.0892917356659678,NA,7.55428587985711,"14.1.3_20221009"
33.6055848372309,83.3300108375093,0.675624237595657,6.03224134527521,0.268697436958015,NA,0.035970934091017,NA,3.08678465289336,"14.1.3_20230209"
