"filename","SampleID","leaf_code","tree","cohort","leaf","date","obs","A","Ci","CO2_s","CO2_r","gsw","Pa","Qin","RHcham","Tleaf","SampleID_num"
"ACi_16.1.2_20230124.xlsx","16.1.2_20230124","16.1.2","16","1","2","20230124",64,5.3354446608768,176.003877465997,399.252714285714,414.443,0.0399104053763053,101.375,1200.00285714286,68.8595814577165,33.1145571428571,53
"ACi_16.1.3_20221014.xlsx","16.1.3_20221014","16.1.3","16","1","3","20221014",64.5,4.67277447186837,241.549352715078,402.337776785714,416.678964285714,0.0494493815408662,101.315330357143,1200.00616071429,69.9673819451826,33.6843839285714,54
"ACi_16.1.3_20230124.xlsx","16.1.3_20230124","16.1.3","16","1","3","20230124",64.5,5.3363849113261,227.556108576092,401.898125,416.868214285714,0.0522560930590148,101.160544642857,1200.01,64.6125318179232,34.0772125,55
"ACi_16.2.1_20221014.xlsx","16.2.1_20221014","16.2.1","16","2","1","20221014",64,2.05023173321435,332.053170237637,401.24475,413.050375,0.0559014752603223,101.275625,1199.99,69.7699779298397,34.518375,56
"ACi_17.1.1_20220712.xlsx","17.1.1_20220712","17.1.1","17","1","1","20220712",63.5,4.29388844015084,305.678844138112,400.182053571429,413.460982142857,0.0813728736613362,101.157133928571,1199.99794642857,68.3927192933076,32.5193017857143,57
"ACi_17.1.1_20230124.xlsx","17.1.1_20230124","17.1.1","17","1","1","20230124",64.5,3.70442099568454,198.680835970744,403.208196428571,416.714919642857,0.030162775617264,101.360919642857,1200.00151785714,70.0695575122407,32.2916946428571,58
"ACi_17.1.2_20220712.xlsx","17.1.2_20220712","17.1.2","17","1","2","20220712",64,8.01256324613553,258.129740095375,399.925142857143,416.592571428571,0.0978468836649579,101.128,1199.98142857143,68.0060433482516,32.8649714285714,59
"ACi_17.1.2_20221006.xlsx","17.1.2_20221006","17.1.2","17","1","2","20221006",64.5,3.89500484308804,201.165200086632,403.6426875,416.886553571429,0.0325046716547131,101.0999375,1200.033125,63.3195617923846,33.9869285714286,60
"ACi_17.1.2_20230124.xlsx","17.1.2_20230124","17.1.2","17","1","2","20230124",64.5,4.67813056021313,207.264830291262,402.442392857143,416.891169642857,0.0403886897101965,101.358544642857,1199.994375,67.3890549137887,33.1398142857143,61
"ACi_17.1.3_20221006.xlsx","17.1.3_20221006","17.1.3","17","1","3","20221006",64,8.77725663304062,187.656678365666,396.032625,414.045125,0.0713926717629226,101.074,1199.9925,63.0100066980885,33.851925,62
"ACi_17.1.3_20230124.xlsx","17.1.3_20230124","17.1.3","17","1","3","20230124",64.5,4.69661839195302,209.081451649414,402.091526785714,416.358080357143,0.0410038705528976,101.330491071429,1200.01178571429,66.3051609610435,32.9733017857143,63
"ACi_18.1.1_20220707.xlsx","18.1.1_20220707","18.1.1","18","1","1","20220707",64,6.97824674445437,258.16888397716,400.678375,416.0585,0.084695234703876,101.235625,1199.9175,68.0650485764985,33.3868875,64
"ACi_18.1.2_20220707.xlsx","18.1.2_20220707","18.1.2","18","1","2","20220707",64,8.85132382352996,283.783428169083,398.30475,415.9105,0.136724188916532,101.222,1199.945,67.7134305566328,33.135125,65
"ACi_18.1.3_20220707.xlsx","18.1.3_20220707","18.1.3","18","1","3","20220707",64,10.6735445897403,306.172951932773,397.143714285714,416.553857142857,0.214767143909215,101.217428571429,1199.99857142857,67.7723220410708,33.0903571428571,66
"ACi_18.1.3_20230124.xlsx","18.1.3_20230124","18.1.3","18","1","3","20230124",64.5,1.77831840845251,261.756601937115,404.7896875,416.461803571429,0.0213422209836469,101.2715625,1200.05017857143,66.9866807568122,33.1571428571429,67
"ACi_19.1.1_20221006.xlsx","19.1.1_20221006","19.1.1","19","1","1","20221006",64,3.74538180771999,218.783649488703,401.091714285714,414.463857142857,0.0353210711849922,100.936571428571,1199.94,63.1307887801359,35.8964,68
"ACi_19.1.1_20221130.xlsx","19.1.1_20221130","19.1.1","19","1","1","20221130",64.5,9.51880439221873,184.566215311061,402.507214285714,416.261598214286,0.0734584826451939,100.638642857143,1199.99919642857,70.2962011279471,34.4162464285714,69
"ACi_19.1.1_20230216.xlsx","19.1.1_20230216","19.1.1","19","1","1","20230216",64,5.93530753917815,247.127861909374,397.7535,413.26575,0.0671615004047677,101.036375,1200.04,70.3101323649707,32.126775,70
"ACi_19.1.2_20221130.xlsx","19.1.2_20221130","19.1.2","19","1","2","20221130",64,5.82305610381752,193.747831905219,401.663857142857,413.875285714286,0.0470694752444754,100.592857142857,1199.99857142857,69.9250624712387,33.9933714285714,71
